"track","artist","stream_on_youtube","stream_on_spotify"
"Scars To Your Beautiful","Alessia Cara","0","1162340580"
"C’est Comme Ça","Paramore","0","3449953"
"Hold On Tight","Aloe Blacc","0","20850494"
"Wow (feat. Skepta & Naira Marley)","Wizkid","0","8378938"
"Beijo pra Jogo - Ao Vivo","Wesley Safadão","0","1937518"
"La Siguiente","Kany García","0","32378214"
"Big 14 (feat. Offset & Moneybagg Yo)","Offset","0","20247431"
"FRESCO","WOS","0","74012555"
"Enséñame","RBD","0","33507683"
"Burnin' Up","Jonas Brothers","0","184712288"
"Round Here","Florida Georgia Line","0","173954456"
"Trampoline (with ZAYN)","ZAYN","0","454098750"
"So Am I (feat. NCT 127)","NCT 127","0","58064541"
"Fire Burning","Sean Kingston","0","222976771"
"528 Hz Anxiety Relief","Miracle Tones","0","59660839"
"White Walls (feat. ScHoolboy Q & Hollis)","Macklemore","0","229025606"
"Scale (con Luchè)","Luchè","0","7983023"
"Adam & Eva","Kontra K","0","8812449"
"Slut Me Out","NLE Choppa","0","34337952"
"Her Way","PARTYNEXTDOOR","0","50503329"
"Occhi rossi","Coez","0","29464691"
"Just A Stranger (feat. Steve Lacy)","Kali Uchis","0","94463569"
"Pork Soda","Glass Animals","0","79383091"
"528 Hz Love Frequency","Solfeggio Healing Frequencies MT","0","57002194"
"Slapper - Fast & Furious: Drift Tape/Phonk Vol 1","DVRST","0","8624951"
"Beautiful","Bazzi","0","291540678"
"Self Care","Mac Miller","0","538108030"
"You Know I'm No Good","Amy Winehouse","0","372312004"
"Bad Habit - Sped Up","Steve Lacy","0","36549314"
"777","Anderson .Paak","0","38965781"
"Dearly Beloved (feat. Jamie Foxx)","Wale","0","4875832"
"Special","Lizzo","0","16439175"
"21","Polo G","0","397829400"
"StarShine (I Don't Want This Night To End)","W&W","0","7730107"
"Lord Is It Mine - 2010 Remastered","Supertramp","0","15213989"
"OUT OUT (feat. Charli XCX & Saweetie)","Jax Jones","0","370232540"
"These Nights","Loud Luxury","0","22057596"
"Bye Bye","Marshmello","0","58648940"
"Playing Games (with Bryson Tiller) - Extended Version","Summer Walker","0","284054930"
"Elle pleut","Nekfeu","0","81002593"
"Shy Away","Twenty One Pilots","0","154596684"
"El Próximo Viernes","Espinoza Paz","0","38026114"
"Devil Doesn’t Bargain","Alec Benjamin","0","94092522"
"Easy On Me","Adele","0","1198067568"
"Real Shit (with benny blanco)","benny blanco","0","106581223"
"Hand Of Blood","Bullet For My Valentine","0","58961594"
"81 - Geheimnis im Spukhotel - Teil 03","Die drei !!!","0","331370"
"Spinnin","Connor Price","0","44236433"
"LOVE. FEAT. ZACARI.","Kendrick Lamar","0","969849343"
"Sunflower - Spider-Man: Into the Spider-Verse","Swae Lee","0","2538329799"
"0:00","Siddhartha","0","54468664"
"Slow Motion","Trey Songz","0","404127511"
"Jar of Hearts","Christina Perri","0","444175576"
"I Just Called","Latto","0","39665360"
